cell_id,year,month,ice_para,heat_para,summer_para,extrain_para
0101,2011,1,2.1100000000000003,517.2,0.0,0.8200000000000001
0101,2011,2,11.05,473.8,0.0,0.85
0101,2011,3,1.6600000000000001,410.8,0.0,0.88
0101,2011,4,0.0,188.1,0.0,0.33
0101,2011,5,0.0,134.8,0.62,1.09
0101,2011,6,0.0,28.5,2.75,2.03
0101,2011,7,0.0,9.7,3.88,6.17
0101,2011,8,0.0,27.6,1.6400000000000001,4.48
0101,2011,9,0.0,67.3,0.0,1.85
0101,2011,10,0.0,214.9,0.0,0.04
0101,2011,11,0.0,296.5,0.0,0.0
0101,2011,12,0.0,385.3,0.0,0.71
0101,2012,1,1.97,458.7,0.0,1.98
0101,2012,2,9.97,484.1,0.0,0.0
0101,2012,3,0.0,334.8,0.0,0.0
0101,2012,4,0.0,291.8,0.0,0.95
0101,2012,5,0.0,130.8,2.8899999999999997,0.0
0101,2012,6,0.0,83.6,0.0,3.28
0101,2012,7,0.0,20.8,5.03,0.91
0101,2012,8,0.0,8.9,5.3100000000000005,0.05
0101,2012,9,0.0,91.9,0.98,3.1799999999999997
0101,2012,10,0.0,248.5,0.0,2.11
0101,2012,11,0.0,315.7,0.0,2.0
0101,2012,12,6.84,493.7,0.0,0.14
0101,2013,1,14.16,511.7,0.0,1.0
0101,2013,2,5.37,474.9,0.0,0.0
0101,2013,3,4.23,532.9,0.0,0.0
0101,2013,4,0.0,303.6,0.0,0.0
0101,2013,5,0.0,106.2,2.04,2.0
0101,2013,6,0.0,41.8,1.0,1.1099999999999999
0101,2013,7,0.0,3.6,13.13,0.0
0101,2013,8,0.0,9.9,4.4399999999999995,0.79
0101,2013,9,0.0,104.7,0.02,1.88
0101,2013,10,0.0,167.1,0.0,2.24
0101,2013,11,0.0,319.5,0.0,1.06
0101,2013,12,0.0,365.9,0.0,0.42
0101,2014,1,7.2299999999999995,473.0,0.0,1.01
0101,2014,2,0.0,358.1,0.0,0.43
0101,2014,3,0.0,327.2,0.0,0.0
0101,2014,4,0.0,220.9,0.0,0.0
0101,2014,5,0.0,125.7,0.94,2.2399999999999998
0101,2014,6,0.0,36.5,1.09,1.17
0101,2014,7,0.0,3.2,20.81,1.52
0101,2014,8,0.0,37.1,2.49,3.72
0101,2014,9,0.0,62.8,0.0,2.58
0101,2014,10,0.0,145.3,0.0,4.53
0101,2014,11,0.0,273.7,0.0,1.0
0101,2014,12,1.0,419.1,0.0,4.79
0101,2015,1,0.0,434.7,0.0,1.51
