cell_id,year,month,ice_para,heat_para,summer_para,extrain_para,maxwind_para,brightsun_para
0101,2011,1,2.11,515.5,0.0,0.82,13.7,66.4
0101,2011,2,11.05,473.1,0.0,0.85,20.3,66.9
0101,2011,3,,420.7,,0.88,16.2,145.1
0101,2011,4,,187.0,,0.33,18.7,244.8
0101,2011,5,,140.4,,1.09,12.1,255.7
0101,2011,6,,30.3,,2.03,10.6,263.3
0101,2011,7,0.0,11.0,3.45,6.16,11.4,164.5
0101,2011,8,,25.2,,4.48,14.0,152.7
0101,2011,9,,68.0,,1.85,13.1,150.9
0101,2011,10,,210.8,,0.03,12.6,137.7
0101,2011,11,,292.5,,0.0,19.5,57.8
0101,2011,12,,383.9,,0.01,15.7,42.6
0101,2012,1,,450.3,,2.67,17.1,66.2
0101,2012,2,,495.0,,0.0,15.0,107.8
0101,2012,3,,330.8,,0.0,16.2,182.6
0101,2012,4,,300.0,,0.95,12.2,157.0
0101,2012,5,,128.9,,0.0,12.8,258.8
0101,2012,6,,90.2,,3.29,13.3,180.5
0101,2012,7,,20.1,,0.91,11.6,213.7
0101,2012,8,,8.1,,0.04,12.2,208.7
0101,2012,9,,90.4,,3.18,11.6,123.8
0101,2012,10,,241.9,,2.12,14.2,94.6
0101,2012,11,,309.2,,2.0,12.2,35.7
0101,2012,12,,499.2,,0.14,14.7,24.9
0101,2013,1,,507.5,,1.0,17.3,52.6
0101,2013,2,,475.6,,0.0,13.5,41.9
0101,2013,3,,532.5,,0.0,15.2,202.0
0101,2013,4,,308.8,,0.0,14.6,216.3
0101,2013,5,,115.7,,2.0,10.9,250.6
0101,2013,6,,39.6,,1.11,12.1,260.4
0101,2013,7,,5.7,,0.0,11.2,271.8
0101,2013,8,,7.2,,0.8,10.7,208.1
0101,2013,9,,101.4,,1.87,11.0,179.4
0101,2013,10,,166.8,,2.24,23.2,93.6
0101,2013,11,,316.0,,1.07,14.0,58.4
0101,2013,12,,363.0,,0.42,22.4,34.4
0101,2014,1,,470.3,,1.01,16.3,10.7
0101,2014,2,,360.7,,0.43,14.1,74.2
0101,2014,3,,328.7,,0.0,18.2,159.8
0101,2014,4,,225.1,,0.0,13.7,211.9
0101,2014,5,,132.4,,2.24,10.1,247.0
0101,2014,6,,36.3,,1.17,10.7,250.9
0101,2014,7,,4.4,,1.51,10.0,311.7
0101,2014,8,,36.5,,3.71,12.6,221.9
0101,2014,9,,59.4,,2.11,13.1,180.7
0101,2014,10,0.0,144.5,0.0,5.0,12.6,78.5
0101,2014,11,0.0,263.3,0.0,1.0,13.6,34.1
0101,2014,12,,422.3,,4.79,15.2,44.2
0101,2015,1,,430.7,,1.51,21.1,36.5
0101,2015,2,,416.9,,1.0,16.6,62.9
0101,2015,3,,370.2,,1.0,13.3,125.6
0101,2015,4,,266.5,,0.0,13.8,230.6
0101,2015,5,,186.0,,0.79,12.3,213.9
0101,2015,6,,80.9,,0.7,12.2,200.5
0101,2015,7,,24.8,,1.14,13.6,223.2
0101,2015,8,,3.1,,1.03,11.0,272.6
0101,2015,9,,83.2,,1.84,11.2,170.6
0101,2015,10,,212.8,,0.42,13.3,86.4
0101,2015,11,,276.6,,5.2,20.9,51.1
0101,2015,12,,316.1,,1.0,16.4,41.1
0101,2016,1,,508.8,,0.0,13.8,50.0
0101,2016,2,,407.6,,1.0,14.8,69.0
0101,2016,3,,392.6,,2.0,11.7,111.2
0101,2016,4,,287.1,,1.0,14.2,143.9
0101,2016,5,,92.7,,0.02,11.3,310.5
0101,2016,6,,24.1,,2.62,10.1,257.6
0101,2016,7,,13.0,,4.67,11.1,195.3
0101,2016,8,,20.1,,0.97,11.6,206.4
0101,2016,9,,24.2,,1.0,13.0,220.8
0101,2016,10,,234.2,,3.81,12.2,85.0
0101,2016,11,,367.4,,1.86,14.0,88.5
0101,2016,12,,374.4,,0.58,18.2,54.8
0101,2017,1,,483.6,,0.0,15.8,64.3
0101,2017,2,,409.8,,1.0,14.2,62.2
0101,2017,3,,362.1,,2.0,14.2,117.9
0101,2017,4,,295.5,,2.0,12.8,173.8
0101,2017,5,,131.5,,0.0,12.7,247.4
0101,2017,6,,38.9,,2.57,11.2,204.1
0101,2017,7,,21.4,,2.69,11.1,191.5
0101,2017,8,,11.7,,2.85,10.6,203.3
0101,2017,9,,87.9,,5.62,14.5,137.2
